Note regarding coverage and payment indicators for codes in CMS’ 2020 HCPCS Update and DMEPOS Fee Schedule Files

If specific Medicare coverage or payment indicators or values have not been established for any new HCPCS codes, this may be because a n






  HCPC/MOD         ACTION CD       SHORT DESCRIPTION              LONG DESCRIPTION
      A1           No Change       Dressing for one wound         Dressing for one wound
      A2           No Change       Dressing for two wounds        Dressing for two wounds
      A3           No Change       Dressing for three wounds      Dressing for three wounds
      A4           No Change       Dressing for four wounds       Dressing for four wounds
      A5           No Change       Dressing for five wounds       Dressing for five wounds
      A6           No Change       Dressing for six wounds        Dressing for six wounds
      A7           No Change       Dressing for seven wounds      Dressing for seven wounds
      A8           No Change       Dressing for eight wounds      Dressing for eight wounds
      A9           No Change       Dressing for 9 or more wound   Dressing for nine or more wounds
      AA           No Change       Anesthesia perf by anesgst     Anesthesia services performed personally by anesthesiologist
      AD           No Change       Md supervision, >4 anes proc   Medical supervision by a physician: more than four concurrent anesthes
      AE           No Change       Registered dietician           Registered dietician
      AF           No Change       Specialty physician            Specialty physician
      AG           No Change       Primary physician              Primary physician
      AH           No Change       Clinical psychologist          Clinical psychologist
      AI           No Change       Principal physician of rec     Principal physician of record
      AJ           No Change       Clinical social worker         Clinical social worker
      AK           No Change       Non participating physician    Non participating physician
      AM           No Change       Physician, team member svc     Physician, team member service
      AO           No Change       Prov declined alt pmt method   Alternate payment method declined by provider of service
      AP           No Change       No dtmn of refractive state    Determination of refractive state was not performed in the course of d
      AQ           No Change       Physician service hpsa area    Physician providing a service in an unlisted health professional short
      AR           No Change       Physician scarcity area        Physician provider services in a physician scarcity area
      AS           No Change       Assistant at surgery service   Physician assistant, nurse practitioner, or clinical nurse specialist
      AT           No Change       Acute treatment                Acute treatment (this modifier should be used when reporting service 9
      AU           No Change       Uro, ostomy or trach item      Item furnished in conjunction with a urological, ostomy, or tracheosto
      AV           No Change       Item w prosthetic/orthotic     Item furnished in conjunction with a prosthetic device, prosthetic or
      AW           No Change       Item w a surgical dressing     Item furnished in conjunction with a surgical dressing
      AX           No Change       Item w dialysis services       Item furnished in conjunction with dialysis services
      AY           No Change       Item/service not for esrd tx   Item or service furnished to an esrd patient that is not for the treat
      AZ           No Change       Physician serv in dent hpsa    Physician providing a service in a dental health professional shortage
      BA           No Change       Item w pen services            Item furnished in conjunction with parenteral enteral nutrition (pen)
      BL           No Change       Spec acquisition blood prods   Special acquisition of blood and blood products
      BO           No Change       Nutrition oral admin no tube   Orally administered nutrition, not by feeding tube
      BP           No Change       Bene electd to purchase item   The beneficiary has been informed of the purchase and rental options a
      BR           No Change       Bene elected to rent item      The beneficiary has been informed of the purchase and rental options a
      BU           No Change       Bene undecided on purch/rent   The beneficiary has been informed of the purchase and rental options a
      CA           No Change       Procedure payable inpatient    Procedure payable only in the inpatient setting when performed emergen
      CB           No Change       Esrd bene part a snf-sep pay   Service ordered by a renal dialysis facility (rdf) physician as part o
      CC           No Change       Procedure code change          Procedure code change (use 'cc' when the procedure code submitted was
      CD           No Change       Amcc test for esrd or mcp md   Amcc test has been ordered by an esrd facility or mcp physician that i
      CE           No Change       Med neces amcc tst sep reimb   Amcc test has been ordered by an esrd facility or mcp physician that i
      CF           No Change       Amcc tst not composite rate    Amcc test has been ordered by an esrd facility or mcp physician that i
      CG           No Change       Policy criteria applied        Policy criteria applied
      CH           No Change       0 percent impaired, ltd, res   0 percent impaired, limited or restricted
      CI           No Change       1 to <20 percent impaired      At least 1 percent but less than 20 percent impaired, limited or restr
      CJ           No Change       20 to <40 percent impaired     At least 20 percent but less than 40 percent impaired, limited or rest
      CK           No Change       40 to <60 percent impaired     At least 40 percent but less than 60 percent impaired, limited or rest
      CL           No Change       60 to <80 percent impaired     At least 60 percent but less than 80 percent impaired, limited or rest
      CM           No Change       80 to <100 percent impaired    At least 80 percent but less than 100 percent impaired, limited or res
      CN           No Change       100 percent impaired, ltd      100 percent impaired, limited or restricted
      CO           No Change       Outpatient ot service by ota   Outpatient occupational therapy services furnished in whole or in part
      CP           No Change       C-apc adjunctive service       Adjunctive service related to a procedure assigned to a comprehensive
      CQ           No Change       Outpatient pt service by pta   Outpatient physical therapy services furnished in whole or in part by
      CR           No Change       Catastrophe/disaster related   Catastrophe/disaster related
      CS           No Change       Gulf oil 2010 spill related    Item or service related, in whole or in part, to an illness, injury, o
      CT           No Change       Ct does not meet nema standa   Computed tomography services furnished using equipment that does not m
      DA           No Change       Oral health assess, not dent   Oral health assessment by a licensed health professional other than a
      E1           No Change       Upper left eyelid              Upper left, eyelid
      E2           No Change       Lower left eyelid              Lower left, eyelid
      E3           No Change       Upper right eyelid             Upper right, eyelid
      E4           No Change       Lower right eyelid             Lower right, eyelid
      EA           No Change       Esa, anemia, chemo-induced     Erythropoetic stimulating agent (esa) administered to treat anemia due
      EB           No Change       Esa, anemia, radio-induced     Erythropoetic stimulating agent (esa) administered to treat anemia due
      EC           No Change       Esa, anemia, non-chemo/radio   Erythropoetic stimulating agent (esa) administered to treat anemia not
      ED           No Change       Hct>39% or hgb>13g>=3 cycle    Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13
      EE           No Change       Hct>39% or hgb>13g<3 cycle     Hematocrit level has not exceeded 39% (or hemoglobin level has not exc
      EJ           No Change       Subsequent claim               Subsequent claims for a defined course of therapy, e.g., epo, sodium h
      EM           No Change       Emer reserve supply (esrd)     Emergency reserve supply (for esrd benefit only)
      EP           No Change       Medicaid epsdt program svc     Service provided as part of medicaid early periodic screening diagnosi
      ER           No Change       Off-campus ed service          Items and services furnished by a provider-based, off-campus emergency
      ET           No Change       Emergency services             Emergency services
      EX           No Change       Expatriate beneficiary         Expatriate beneficiary
      EY           No Change       No md order for item/service   No physician or other licensed health care provider order for this ite
      F1           No Change       Left hand, second digit        Left hand, second digit
      F2           No Change       Left hand, third digit         Left hand, third digit
